,Name,Individual voxel z-score,Individual voxel Posterior prob,Seed-based network Func conn. (r),Seed-based network Meta-analytic coact. (r),x,y,z,"x, y, z"
0,abilities,-0.0,0.51,-0.0,-0.0,0,0,0,"0, 0, 0"
1,ability,0.0,0.41,-0.0,-0.0,0,0,0,"0, 0, 0"
2,abstract,-0.0,0.41,-0.0,-0.0,0,0,0,"0, 0, 0"
3,abuse,0.0,0.53,0.03,-0.0,0,0,0,"0, 0, 0"
4,acc,-0.0,0.4,0.1,-0.01,0,0,0,"0, 0, 0"
5,accumbens,0.0,0.5,0.12,0.13,0,0,0,"0, 0, 0"
6,accuracy,,0.53,0.0,0.0,0,0,0,"0, 0, 0"
7,accurate,0.0,0.62,0.0,-0.0,0,0,0,"0, 0, 0"
8,accurately,0.0,0.56,0.01,-0.0,0,0,0,"0, 0, 0"
9,acoustic,-0.0,0.44,-0.07,-0.01,0,0,0,"0, 0, 0"
10,act,0.0,0.64,0.0,-0.0,0,0,0,"0, 0, 0"
11,action,0.0,0.37,-0.15,-0.01,0,0,0,"0, 0, 0"
12,action observation,0.0,0.36,-0.15,-0.01,0,0,0,"0, 0, 0"
13,actions,-0.0,0.4,-0.13,-0.01,0,0,0,"0, 0, 0"
14,acts,0.0,0.29,-0.01,-0.0,0,0,0,"0, 0, 0"
15,ad,0.0,0.55,0.03,-0.0,0,0,0,"0, 0, 0"
16,adaptation,-0.0,0.35,-0.01,-0.0,0,0,0,"0, 0, 0"
17,add,0.0,0.28,0.0,-0.0,0,0,0,"0, 0, 0"
18,addiction,0.0,0.56,0.04,0.03,0,0,0,"0, 0, 0"
19,addition,-0.0,0.4,-0.0,-0.0,0,0,0,"0, 0, 0"
20,adhd,-0.0,0.41,-0.01,-0.0,0,0,0,"0, 0, 0"
21,adolescence,0.0,0.41,-0.0,-0.0,0,0,0,"0, 0, 0"
22,adolescent,-0.0,0.42,-0.0,-0.0,0,0,0,"0, 0, 0"
23,adolescents,-0.0,0.42,0.0,-0.0,0,0,0,"0, 0, 0"
24,adult,,0.56,0.0,0.0,0,0,0,"0, 0, 0"
25,adulthood,0.0,0.54,-0.01,0.0,0,0,0,"0, 0, 0"
26,adults,-0.0,0.49,0.0,-0.0,0,0,0,"0, 0, 0"
27,affect,-0.0,0.51,0.04,-0.0,0,0,0,"0, 0, 0"
28,affective,-0.0,0.34,0.08,-0.01,0,0,0,"0, 0, 0"
29,age,0.0,0.49,0.01,-0.0,0,0,0,"0, 0, 0"
30,agent,-0.0,-0.0,-0.01,-0.0,0,0,0,"0, 0, 0"
31,aging,0.0,0.36,0.02,-0.0,0,0,0,"0, 0, 0"
32,al,0.0,0.55,0.0,0.03,0,0,0,"0, 0, 0"
33,alcohol,-0.0,0.2,-0.0,-0.0,0,0,0,"0, 0, 0"
34,alff,0.0,0.47,-0.0,-0.0,0,0,0,"0, 0, 0"
35,alpha,0.0,0.68,-0.01,-0.0,0,0,0,"0, 0, 0"
36,alzheimer,-0.0,0.6,0.08,0.02,0,0,0,"0, 0, 0"
37,alzheimer disease,-0.0,0.61,0.08,0.01,0,0,0,"0, 0, 0"
38,ambiguous,0.0,0.34,-0.01,-0.0,0,0,0,"0, 0, 0"
39,amnestic,0.0,0.32,0.07,-0.01,0,0,0,"0, 0, 0"
40,amygdala,0.0,0.42,0.18,0.03,0,0,0,"0, 0, 0"
41,amygdala anterior,-0.0,0.3,0.08,-0.01,0,0,0,"0, 0, 0"
42,amygdala hippocampus,-0.0,0.47,0.14,-0.01,0,0,0,"0, 0, 0"
